gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
rpk,0,fixed,,20260729,1-5,5,82.42,186,57,5360,108,2.2,0.054,0,0,0,0
rpk,0,fixed,,20260729,6-10,5,175.48,1035,149,17640,2976,51.6,0.226,0,0,0,0
rpk,0,fixed,,20260729,11-15,5,400.42,2800,253,37440,228264,4039.9,0.902,5,0,0,0
rpk,0,fixed,,20260729,16-20,5,905.40,6617,372,75930,924036,16306.7,0.974,13,0,0,0
rpk,0,fixed,,20260729,all,20,1563.72,10638,831,136370,1155384,20400.4,0.539,18,0,0,0
