gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,215.20,1391,149,20600,26100,462.0,0.455,2,0,0,0
mp40,0,fixed,,20260729,11-15,5,553.73,3835,253,45990,420348,7459.8,0.941,12,0,0,0
mp40,0,fixed,,20260729,16-20,5,1316.43,9249,372,96270,1405584,24834.1,0.980,33,0,0,0
mp40,0,fixed,,20260729,all,20,2163.28,14713,831,168750,1852032,32755.8,0.594,47,0,0,0
