gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,205.68,1323,149,19410,21492,382.3,0.383,2,4,8,4000
mp40,0,fixed,,20260729,11-15,5,436.82,3002,253,35570,245964,4351.5,0.905,8,8,59,8000
mp40,0,fixed,,20260729,16-20,5,950.93,6660,372,69570,910404,16114.5,0.975,23,16,103,16000
mp40,0,fixed,,20260729,all,20,1671.35,11223,831,130440,1177860,20848.3,0.566,33,28,170,28000
