gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,178.03,1138,149,16400,3180,53.3,0.106,2,3,31,3000
mp40,0,fixed,,20260729,11-15,5,358.93,2448,253,29030,173256,3079.0,0.923,7,5,90,5000
mp40,0,fixed,,20260729,16-20,5,692.05,4828,372,50430,505164,8955.4,0.913,16,9,181,9000
mp40,0,fixed,,20260729,all,20,1306.93,8652,831,101750,681600,12087.7,0.486,25,17,302,17000
