gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
m1911,0,fixed,,20260729,1-5,5,122.20,360,57,6540,8712,158.6,0.380,2,0,0,0
m1911,0,fixed,,20260729,6-10,5,689.22,2145,149,26230,448584,7987.3,0.946,24,0,0,0
m1911,0,fixed,,20260729,11-15,5,1850.40,5792,253,61810,1814400,32179.2,0.987,70,0,0,0
m1911,0,fixed,,20260729,16-20,5,4499.63,14117,372,133900,5037948,89584.4,0.995,174,0,0,0
m1911,0,fixed,,20260729,all,20,7161.45,22414,831,228480,7309644,129909.5,0.827,270,0,0,0
