gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,speed,20260729,1-5,5,74.17,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,speed,20260729,6-10,5,174.85,1391,149,20560,1704,30.6,0.141,2,0,0,0
mp40,0,fixed,speed,20260729,11-15,5,411.50,3852,253,46640,239748,4240.8,0.872,12,0,0,0
mp40,0,fixed,speed,20260729,16-20,5,972.38,9234,372,96480,999948,17658.7,0.970,33,0,0,0
mp40,0,fixed,speed,20260729,all,20,1632.90,14715,831,169570,1241400,21930.2,0.496,47,0,0,0
