gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,205.18,1320,149,19010,19044,328.8,0.390,2,4,8,4000
mp40,0,fixed,,20260729,11-15,5,476.58,3266,253,39570,316668,5600.6,0.919,10,7,37,7000
mp40,0,fixed,,20260729,16-20,5,1103.95,7744,372,80760,1109532,19599.0,0.975,28,17,62,17000
mp40,0,fixed,,20260729,all,20,1863.63,12568,831,145230,1445244,25528.4,0.571,40,28,107,28000
