gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
m1911,0,fixed,,20260729,1-5,5,122.20,360,57,6540,8712,158.6,0.380,2,0,0,0
m1911,0,fixed,,20260729,6-10,5,482.07,1491,149,17750,203220,3620.5,0.857,16,8,52,8000
m1911,0,fixed,,20260729,11-15,5,1103.05,3449,253,35600,874320,15410.5,0.758,41,17,110,17000
m1911,0,fixed,,20260729,16-20,5,2248.15,7043,372,67420,2031228,36031.3,0.977,86,34,184,34000
m1911,0,fixed,,20260729,all,20,3955.47,12343,831,127310,3117480,55220.9,0.743,145,59,346,59000
