gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,205.13,1318,149,19140,14256,253.4,0.375,2,4,8,4000
mp40,0,fixed,,20260729,11-15,5,386.82,2651,253,31540,190356,3354.7,0.739,8,6,86,6000
mp40,0,fixed,,20260729,16-20,5,766.50,5368,372,55990,636156,11273.6,0.930,17,11,159,11000
mp40,0,fixed,,20260729,all,20,1436.37,9575,831,112560,840768,14881.8,0.511,27,21,253,21000
