gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
rpk,0,fixed,,20260729,1-5,5,82.42,186,57,5360,108,2.2,0.054,0,0,0,0
rpk,0,fixed,,20260729,6-10,5,177.87,962,149,16780,2100,38.1,0.182,0,3,10,3000
rpk,0,fixed,,20260729,11-15,5,315.90,2167,253,28490,59064,1039.5,0.687,3,5,69,5000
rpk,0,fixed,,20260729,16-20,5,622.20,4484,372,51600,517560,9161.7,0.953,8,10,118,10000
rpk,0,fixed,,20260729,all,20,1198.38,7799,831,102230,578832,10241.5,0.469,11,18,197,18000
